Merk,Nama_Produk,Harga,Ratings,URL
Hush Puppies,Steven Messenger Bag,799000,5.0,https://www.zalora.co.id/p/aldo-marky-backpack-brown-4397103
ADIDAS,Classic Badge Of Sport Backpack,0,5.0,https://www.zalora.co.id/p/nike-heritage-backpack-25l-green-4673844
ADIDAS,Adicolor Backpack,600000,4.9,https://www.zalora.co.id/p/adidas-ep-syst-team-duffel-bag-35l-black-4493593
Smiggle,Smiggle Limitless Backpack Trolley With Light Up Wheels - IGL455358BLM,1799000,5.0,https://www.zalora.co.id/p/nike-sportswear-futura-365-women-s-mini-backpack-6l-brown-4673942
Smiggle,Smiggle Spider-Man Classic Backpack - IGL445075BLK - Black,0,5.0,https://www.zalora.co.id/p/adidas-backpack-black-4493742
Hush Puppies,Brigitte Sling M,1199000,5.0,https://www.zalora.co.id/p/hush-puppies-tegan-backpack-black-4326083
ADIDAS,Sport Waist Bag,0,0.0,https://www.zalora.co.id/p/adidas-city-explorer-backpack-black-4719968
Hush Puppies,Kiko Backpack,2999000,5.0,https://www.zalora.co.id/p/nike-sportswear-futura-luxe-women-s-cross-body-bag-1l-green-4473103
ADIDAS,adicolor backpack,600000,4.9,https://www.zalora.co.id/p/nike-sportswear-futura-365-faux-fur-crossbody-bag-1l-black-4674501
Hush Puppies,Michael Backpack,2599000,5.0,https://www.zalora.co.id/p/adidas-pu-outline-trefoil-shoulder-bag-black-4493541
Hush Puppies,Merric Chest Bag,1999000,0.0,https://www.zalora.co.id/p/adidas-hybrid-waist-bag-grey-4776884
ADIDAS,Sportswear Medium Duffel Bag,0,0.0,https://www.zalora.co.id/p/adidas-vrst-backpack-black-4493861
ADIDAS,denim shoulder bag,800000,0.0,https://www.zalora.co.id/p/adidas-classic-back-to-school-3-stripes-backpack-blue-4776883
ADIDAS,Essentials Backpack Classic,0,4.5,/
Nike,Heritage Backpack (25L),0,5.0,https://www.zalora.co.id/categories
ADIDAS,Essentials Organizer,250000,4.8,https://www.zalora.co.id/cart
ADIDAS,4ATHLTS Large Duffel Bag,0,0.0,https://www.zalora.co.id/wishlist
ADIDAS,Adicolor Classic Festival Bag,400000,5.0,/customer/account/index
Hush Puppies,Monet Shoulder M,1199000,0.0,https://www.zalora.co.id/p/smiggle-smiggle-limitless-backpack-trolley-with-light-up-wheels-igl455358blm-black-4582281
ADIDAS,Classic Badge Of Sport Backpack,0,5.0,https://www.zalora.co.id/p/smiggle-smiggle-spider-man-classic-backpack-igl445075blk-black-black-4264002
ADIDAS,Adicolor Backpack,600000,4.9,https://www.zalora.co.id/p/adidas-4athlts-duffel-bag-small-black-3188009
Hush Puppies,Shell Backpack,999000,5.0,https://www.zalora.co.id/p/adidas-adicolor-sacoche-bag-black-4149175
Hush Puppies,Stanlee Backpack,999000,0.0,https://www.zalora.co.id/p/adidas-classic-badge-of-sport-3-stripes-backpack-black-3552197
Nike,Classic Kids' Backpack (16L),0,5.0,https://www.zalora.co.id/p/converse-go-2-backpack-purple-4682567
Hush Puppies,Lexis Backpack,1999000,0.0,https://www.zalora.co.id/p/converse-go-2-backpack-black-4435706
ADIDAS,Premium Essentials Waist Bag,600000,4.8,https://www.zalora.co.id/p/converse-straight-edge-backpack-black-4418100
Hush Puppies,Stanlee Backpack,999000,0.0,https://www.zalora.co.id/p/converse-straight-edge-backpack-grey-4682563
Hush Puppies,Maple Backpack,2599000,5.0,https://www.zalora.co.id/p/adidas-mini-airliner-bag-silver-4776890
Hush Puppies,Simon Chest Bag,799000,5.0,https://www.zalora.co.id/p/converse-speed-3-backpack-purple-4681360
Nike,Futura 365 Crossbody Bag (L),0,4.9,https://www.zalora.co.id/p/converse-go-lo-backpack-purple-4681357
Obermain,Jeremy Chest Bag,2299000,0.0,https://www.zalora.co.id/p/converse-go-lo-backpack-grey-4681361
Nike,Brasilia 9.5 Drawstring Bag (18L),329000,5.0,https://www.zalora.co.id/p/converse-speed-3-backpack-beige-4681356
Nike,"Brasilia Backpack (Medium, 24L)",589000,4.9,https://www.zalora.co.id/p/converse-speed-3-backpack-grey-4681358
Hush Puppies,Owen Backpack,2599000,0.0,https://www.zalora.co.id/p/nike-older-kids-backpack-25l-red-4674503
Hush Puppies,Jazzlyn Hobo M,1199000,4.9,https://www.zalora.co.id/p/hush-puppies-peppy-backpack-pink-4382477
ADIDAS,adicolor classic waist bag,0,3.0,https://www.zalora.co.id/p/converse-wrinkle-backpack-navy-4760787
Hush Puppies,Maryam Backpack,0,5.0,https://www.zalora.co.id/p/under-armour-gametime-duffle-s-bag-black-3851685
Hush Puppies,Pluto Backpack,2599000,0.0,https://www.zalora.co.id/p/under-armour-undeniable-5-0-medium-duffle-bag-navy-3155215
Nike,Brasilia 9.5 Drawstring Bag (18L),329000,5.0,https://www.zalora.co.id/p/adidas-classic-seasonal-backpack-black-4719959
ADIDAS,Gym Sack,0,0.0,https://www.zalora.co.id/p/adidas-must-haves-shoulder-bag-black-4776860
Hush Puppies,Katelyn Backpack (L),0,0.0,https://www.zalora.co.id/p/converse-winterized-go-lo-backpack-black-4681362
Smiggle,Smiggle Limitless Backpack Trolley With Light Up Wheels - IGL455358BLM,1799000,5.0,https://www.zalora.co.id/p/hush-puppies-sage-backpack-navy-4687676
Smiggle,Smiggle Spider-Man Classic Backpack - IGL445075BLK - Black,0,5.0,https://www.zalora.co.id/p/aldo-kaptai-backpack-black-4399773
ADIDAS,Adicolor Classic Small Item Bag,0,0.0,https://www.zalora.co.id/p/aldo-marky-backpack-brown-4397103
Hush Puppies,Simon Chest Bag,799000,5.0,https://www.zalora.co.id/p/nike-heritage-backpack-25l-green-4673844
Obermain,Jeremy Chest Bag,2299000,0.0,https://www.zalora.co.id/p/adidas-ep-syst-team-duffel-bag-35l-black-4493593
Hush Puppies,Sunny Backpack,999000,5.0,https://www.zalora.co.id/p/nike-sportswear-futura-365-women-s-mini-backpack-6l-brown-4673942
Nike,Faux Fur Backpack (11L),0,5.0,https://www.zalora.co.id/p/adidas-backpack-black-4493742
ADIDAS,adicolor classic waist bag,0,3.0,https://www.zalora.co.id/p/hush-puppies-tegan-backpack-black-4326083
ADIDAS,Adicolor Classic Small Item Bag,0,0.0,https://www.zalora.co.id/p/adidas-city-explorer-backpack-black-4719968
Nike,Sportswear Puffle Tote Bag (24L),1049000,5.0,https://www.zalora.co.id/p/nike-sportswear-futura-luxe-women-s-cross-body-bag-1l-green-4473103
Hush Puppies,Pluto Backpack,2599000,0.0,https://www.zalora.co.id/p/nike-sportswear-futura-365-faux-fur-crossbody-bag-1l-black-4674501
Hush Puppies,Katelyn Backpack (L),0,0.0,https://www.zalora.co.id/p/adidas-pu-outline-trefoil-shoulder-bag-black-4493541
ADIDAS,essentials linear backpack,0,5.0,https://www.zalora.co.id/p/adidas-hybrid-waist-bag-grey-4776884
ADIDAS,premium essentials festival bag,0,4.9,https://www.zalora.co.id/p/adidas-vrst-backpack-black-4493861
ADIDAS,Must Haves Tote Bag,0,0.0,https://www.zalora.co.id/p/adidas-classic-back-to-school-3-stripes-backpack-blue-4776883
ADIDAS,Premium Essentials Backpack,0,4.9,/
Hush Puppies,Pluto Backpack,2599000,0.0,https://www.zalora.co.id/categories
ADIDAS,Adicolor Classic Airline Bag,0,0.0,https://www.zalora.co.id/cart
ADIDAS,Adicolor Classic Airline Bag,0,0.0,https://www.zalora.co.id/wishlist
ADIDAS,essentials linear duffel bag extra small,0,4.8,/customer/account/index
ADIDAS,Mini Airliner Bag,0,0.0,https://www.zalora.co.id/p/smiggle-smiggle-limitless-backpack-trolley-with-light-up-wheels-igl455358blm-black-4582281
ADIDAS,adidas glow backpack xs,0,5.0,https://www.zalora.co.id/p/smiggle-smiggle-spider-man-classic-backpack-igl445075blk-black-black-4264002
ADIDAS,essentials linear backpack,0,5.0,https://www.zalora.co.id/p/adidas-4athlts-duffel-bag-small-black-3188009
ADIDAS,Adicolor Backpack,600000,4.8,https://www.zalora.co.id/p/adidas-adicolor-sacoche-bag-black-4149175
ADIDAS,Trefoil Gym Sack,280000,4.9,https://www.zalora.co.id/p/adidas-classic-badge-of-sport-3-stripes-backpack-black-3552197
Hush Puppies,Katelyn Backpack (M),0,0.0,https://www.zalora.co.id/p/converse-go-2-backpack-purple-4682567
ADIDAS,Linear Essentials Backpack,0,0.0,https://www.zalora.co.id/p/converse-go-2-backpack-black-4435706
ADIDAS,adicolor classic round bag,0,0.0,https://www.zalora.co.id/p/converse-straight-edge-backpack-black-4418100
Hush Puppies,Katelyn Backpack (L),0,0.0,https://www.zalora.co.id/p/converse-straight-edge-backpack-grey-4682563
ADIDAS,Monogram Festival Bag,400000,3.8,https://www.zalora.co.id/p/adidas-mini-airliner-bag-silver-4776890
Hush Puppies,Katelyn Backpack (L),0,0.0,https://www.zalora.co.id/p/converse-speed-3-backpack-purple-4681360
ADIDAS,adidas glow backpack xs,0,5.0,https://www.zalora.co.id/p/converse-go-lo-backpack-purple-4681357
ADIDAS,Must Haves Backpack,0,4.7,https://www.zalora.co.id/p/converse-go-lo-backpack-grey-4681361
ADIDAS,Essentials Organizer,0,4.9,https://www.zalora.co.id/p/converse-speed-3-backpack-beige-4681356
Hush Puppies,Darlene Backpack M,1399000,4.9,https://www.zalora.co.id/p/converse-speed-3-backpack-grey-4681358
ADIDAS,Adicolor Backpack,1200000,5.0,https://www.zalora.co.id/p/nike-older-kids-backpack-25l-red-4674503
Hush Puppies,Ebba Backpack,999000,4.8,https://www.zalora.co.id/p/hush-puppies-peppy-backpack-pink-4382477
Nike,"Heritage Crossbody Bag (Small, 1L)",0,5.0,https://www.zalora.co.id/p/converse-wrinkle-backpack-navy-4760787
Smiggle,Smiggle Limitless Backpack Trolley With Light Up Wheels - IGL455358BLM,1799000,5.0,https://www.zalora.co.id/p/under-armour-gametime-duffle-s-bag-black-3851685
Smiggle,Smiggle Spider-Man Classic Backpack - IGL445075BLK - Black,0,5.0,https://www.zalora.co.id/p/under-armour-undeniable-5-0-medium-duffle-bag-navy-3155215
Hush Puppies,Dava Backpack,1299000,4.9,https://www.zalora.co.id/p/adidas-classic-seasonal-backpack-black-4719959
Nike,Hike Day Pack (24L),849000,0.0,https://www.zalora.co.id/p/adidas-must-haves-shoulder-bag-black-4776860
Hush Puppies,Mack Backpack,1599000,5.0,https://www.zalora.co.id/p/converse-winterized-go-lo-backpack-black-4681362
Nike,Heritage Waistpack,329000,5.0,https://www.zalora.co.id/p/hush-puppies-sage-backpack-navy-4687676
Hush Puppies,Veron Backpack L,1399000,5.0,https://www.zalora.co.id/p/aldo-kaptai-backpack-black-4399773
Nike,"Heritage Crossbody Bag (Small, 1L)",259000,5.0,https://www.zalora.co.id/p/aldo-marky-backpack-brown-4397103
ADIDAS,Adicolor Festival Bag,400000,5.0,https://www.zalora.co.id/p/nike-heritage-backpack-25l-green-4673844
Hush Puppies,Katelyn Backpack (M),0,0.0,https://www.zalora.co.id/p/adidas-ep-syst-team-duffel-bag-35l-black-4493593
Hush Puppies,Katelyn Backpack (M),0,0.0,https://www.zalora.co.id/p/nike-sportswear-futura-365-women-s-mini-backpack-6l-brown-4673942
Hush Puppies,Ranger Clutch,2399000,0.0,https://www.zalora.co.id/p/adidas-backpack-black-4493742
Hush Puppies,Westie Backpack M,1399000,5.0,https://www.zalora.co.id/p/hush-puppies-tegan-backpack-black-4326083
Hush Puppies,Orton Backpack,1599000,0.0,https://www.zalora.co.id/p/adidas-city-explorer-backpack-black-4719968
Hush Puppies,Veron Backpack M,1299000,5.0,https://www.zalora.co.id/p/nike-sportswear-futura-luxe-women-s-cross-body-bag-1l-green-4473103
Hush Puppies,Darlene Backpack L,1499000,5.0,https://www.zalora.co.id/p/nike-sportswear-futura-365-faux-fur-crossbody-bag-1l-black-4674501
Hush Puppies,Morris Backpack,2599000,5.0,https://www.zalora.co.id/p/adidas-pu-outline-trefoil-shoulder-bag-black-4493541
ADIDAS,Classic Badge of Sport 3-Stripes Backpack,0,4.9,https://www.zalora.co.id/p/adidas-hybrid-waist-bag-grey-4776884
Hush Puppies,Darlene Backpack L,1499000,5.0,https://www.zalora.co.id/p/adidas-vrst-backpack-black-4493861
Hush Puppies,Raiden Clutch,2599000,0.0,https://www.zalora.co.id/p/adidas-classic-back-to-school-3-stripes-backpack-blue-4776883
Hush Puppies,Dava Backpack,1299000,5.0,/
Hush Puppies,Miki Backpack,1999000,0.0,https://www.zalora.co.id/categories
ADIDAS,Sport Festival Bag,520000,0.0,https://www.zalora.co.id/cart
Nike,Sportswear Women's Futura 365 Crossbody Bag (3L),0,4.9,https://www.zalora.co.id/wishlist
Hush Puppies,Maryam Backpack,1299000,5.0,/customer/account/index
Hush Puppies,Aiger Backpack (S),1199000,5.0,https://www.zalora.co.id/p/smiggle-smiggle-limitless-backpack-trolley-with-light-up-wheels-igl455358blm-black-4582281
Hush Puppies,Ebba Backpack,999000,4.9,https://www.zalora.co.id/p/smiggle-smiggle-spider-man-classic-backpack-igl445075blk-black-black-4264002
Nike,Aura Crossbody Bag (2L),0,4.9,https://www.zalora.co.id/p/adidas-4athlts-duffel-bag-small-black-3188009
Hush Puppies,Veron Backpack L,1399000,5.0,https://www.zalora.co.id/p/adidas-adicolor-sacoche-bag-black-4149175
Hush Puppies,Echo Backpack,999000,5.0,https://www.zalora.co.id/p/adidas-classic-badge-of-sport-3-stripes-backpack-black-3552197
Hush Puppies,Aiger Backpack (M),1299000,5.0,https://www.zalora.co.id/p/converse-go-2-backpack-purple-4682567
ALDO,Bentley Backpack,1499000,5.0,https://www.zalora.co.id/p/converse-go-2-backpack-black-4435706
Hush Puppies,Echo Backpack,999000,5.0,https://www.zalora.co.id/p/converse-straight-edge-backpack-black-4418100
Hush Puppies,Orton Backpack,1599000,5.0,https://www.zalora.co.id/p/converse-straight-edge-backpack-grey-4682563
ADIDAS,Premium Essentials Festival Bag,500000,4.9,https://www.zalora.co.id/p/adidas-mini-airliner-bag-silver-4776890
